X,Y,AP001,AP002,AP003,AP004,AP005,AP006,AP007,AP008,AP010,AP011,AP014,AP017,AP019,AP021,AP023,AP024,AP029,AP030
18,17,-79.38461538461539,-78.73076923076923,-49.15384615384615,-72.38461538461539,-84.8,-48.76923076923077,-47.36363636363637,-73.0909090909091,-85.33333333333333,-84.5,-90.73314073145329,-94.0,-92.4,-80.92307692307692,-76.72727272727273,-89.4,-80.23076923076923,-78.23076923076923
18,18,-77.36363636363636,-75.72727272727273,-46.45454545454545,-65.72727272727273,-86.0,-47.0,-43.27272727272727,-71.81818181818181,-87.0,-86.0,-89.5,-90.5,-90.66666666666667,-78.9090909090909,-76.9090909090909,-90.0,-87.5,-75.81818181818181
18,19,-84.04545454545455,-81.0,-48.90909090909091,-75.0,-86.66666666666667,-48.18181818181818,-47.09090909090909,-73.27272727272727,-83.6,-79.25,-84.0,-96.0,-95.66666666666667,-83.72727272727273,-82.33333333333333,-93.0,-80.74451885028947,-78.88888888888889
19,1,-93.81062836594423,-93.211752238801,-69.25,-85.5,-89.5211949539452,-65.35714285714286,-65.39285714285714,-49.92857142857143,-90.19691676226768,-90.44495849550506,-90.43555544177752,-96.0,-93.0,-59.57142857142857,-83.57142857142857,-92.0,-79.5,-79.92857142857143
19,2,-94.25,-91.875,-63.25,-88.5,-88.62003835251015,-60.75,-61.166666666666664,-47.464285714285715,-90.36135819761496,-90.80898623874214,-90.16966152757689,-85.6875,-86.25,-61.142857142857146,-82.5,-86.75,-69.0,-82.92857142857143
19,3,-92.8125,-91.88888888888889,-59.833333333333336,-83.45454545454545,-89.3282186555281,-58.833333333333336,-57.666666666666664,-51.05555555555556,-94.0,-90.7494440933465,-96.0,-93.66666666666667,-94.83333333333333,-62.666666666666664,-75.88888888888889,-95.2,-68.5,-73.16666666666667
19,4,-90.0,-88.0,-61.82142857142857,-87.25,-89.34786049015298,-61.464285714285715,-61.5,-40.92857142857143,-90.84647853312269,-90.65731563770497,-89.9165390272842,-96.5,-93.0,-55.857142857142854,-79.71428571428571,-90.66666666666667,-66.35714285714286,-82.07142857142857
19,5,-97.0,-91.41666666666667,-65.0,-93.0,-88.81756522364526,-61.75,-63.5,-37.857142857142854,-89.78111280680453,-90.81351570686583,-91.1237941179142,-94.0,-94.0,-64.35714285714286,-84.0,-94.5,-71.14285714285714,-84.85714285714286
19,6,-92.1,-91.6,-57.714285714285715,-86.79166666666667,-89.45191595052368,-57.82142857142857,-55.92857142857143,-43.5,-89.97759618638138,-90.99129642295959,-91.21703288143198,-94.5,-93.5,-68.21428571428571,-78.21428571428571,-92.5,-71.78571428571429,-81.92857142857143
19,7,-91.5,-88.71428571428571,-60.07142857142857,-90.5,-88.99495734122735,-59.392857142857146,-59.92857142857143,-47.714285714285715,-90.22651311186284,-90.86666006175908,-90.89803228001061,-91.25,-91.0,-69.64285714285714,-81.57142857142857,-95.0,-64.5,-80.28571428571429
